group,left,right,min,max,node,clade_pretty,fossil,authority,locality,outgroup_sequence,age_authority
Total_group_Diodontidae,Diodon_hystrix,Tetraodon_cutcutia,49,79.89189189,10807,Total group Diodontidae,Heptadiodon echinus,Bannikov et al. (2016),"Bolca, Italy","Total group Diodontidae	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
MRCA_Sphoeroides__Tetraodon,Tetraodon_cutcutia,Sphoeroides_tyleri,32.02,65.48378378,10851,"MRCA Sphoeroides, Tetraodon",Archaeotetraodon winterbottomi,Bannikov et al. (2016),"Lower Khadum Horizon, Caucasus","MRCA Sphoeroides, Tetraodon	Total group Diodontidae	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 40; specimen derives from same geological unit"
Total_group_Scatophagidae,Scatophagus_argus,Pristigenys_alta,49,62.72972973,11065,Total group Scatophagidae,Eoscatophagus frontalis,Tyler (1999),"Bolca, Italy","Total group Scatophagidae	Total group Siganidae	Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Total_group_Siganidae,Siganus_argenteus,Capros_aper,54.17,70.72307307,11098,Total group Siganidae,Siganopygaeus rarus,"Tyler & Bannikov (1997), Banikov et al. (2010)","Danatinsk Formation, Turkmenistan","Total group Siganidae	Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Total_group_Luvarus,Zanclus_cornutus,Luvarus_imperialis,54.17,81.25684685,11161,Total group Luvarus,Luvarus necopinatus,Alfaro et al. (in prep),"Danatinsk Formation, Turkmenistan","Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), 'Total-group Carangiformes'; specimen derives from same geological unit"
Total_group_Zanclus,Zanclus_cornutus,Naso_thynnoides,49,69.59459459,11163,Total group Zanclus,Eozanclus brevirostris,?,"Bolca, Italy","Total group Zanclus	Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Crown_group_Acanthuridae,Naso_thynnoides,Prionurus_microlepidotus,49,61.58558559,11165,Crown group Acanthuridae,Proacanthurus tenuis,Near et al. (2012),"Bolca, Italy","Crown group Acanthuridae	Total group Zanclus	Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Total_group_Malacanthus,Malacanthus_brevirostris,Hoplolatilus_chlupatyi,13.53,39.37698699,11527,Total group Malacanthus,Malacanthus carosii,Carnevale (2016),"St. Margarethen, Austria","Total group Malacanthus	Total group Lopholatilus	Total group Chaetodontidae	Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","NN5b, age estimage derived from Gradstein et al. (2012)"
Total_group_Lopholatilus,Lopholatilus_villarii,Hoplolatilus_marcosi,13.82,51.73029029,11540,Total group Lopholatilus,Lopholatilus chamaeleonticeps,Carnvelae & Godfrey (2014),"Calvert Formation, USA","Total group Lopholatilus	Total group Chaetodontidae	Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Langhian, age estimate derived from Gradstein et al. (2012)"
Total_group_Chaetodontidae,Chaetodon_robustus,Leiognathus_longispinis,29.62,66.09105105,11890,Total group Chaetodontidae,Chaetodontidae indet. (Tholichthys larval stage),Micklich et al. (2009),", Germany","Total group Chaetodontidae	Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 6; specimen derives from same geological unit"
Total_group_Chaetodon,Chaetodon_robustus,Prognathodes_aya,5.333,50.81785385,11994,Total group Chaetodon,Chaetodon ficheuri,Carnevale (2006),"Oran, Algeria","Total group Chaetodon	Total group Chaetodontidae	Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Messinian, age estimate derived from Gradstein et al. (2012)"
Total_group_Astroscopus,Astroscopus_y_graecum,Uranoscopus_sulphureus,7.246,38.13793393,12704,Total group Astroscopus,Astroscopus countermani,Carnevale et al. (2011),"St. Mary's Formation, USA","Total group Astroscopus	Total group Archoplites	Total group Chaetodontidae	Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Tortonian, age estimate derived from Gradstein et al. (2012)"
Total_group_Archoplites,Archoplites_interruptus,Pomoxis_annularis,15.4,52.33633634,13195,Total group Archoplites,Archoplites clarki,Smith & Miller (1985),"Clarkia Lake Beds, Idaho, USA","Total group Archoplites	Total group Chaetodontidae	Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Ladderud et al. (2015)
Gasterosteus_aculeatus,Gasterosteus_aculeatus,Gasterosteus_wheatlandi,13.1,39.39099099,14918,Gasterosteus aculeatus,Gasterosteus cf. wheatlandi,Benton et al. (2015),"Monterey Formation (Alta Mira Shale), California, USA","Gasterosteus aculeatus	Total group Archoplites	Total group Chaetodontidae	Total group Luvarus	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 39"
Total_group_Trichuroidea,Ruvettus_pretiosus,Xenobrama_microlepis,54.17,94.42406406,15846,Total group Trichuroidea,Argestichthys vysotzkyi,Prokofiev (2002),"Danatinsk Formation, Turkmenistan","Total group Trichuroidea	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), 'Total-group Carangiformes'; specimen derives from same geological unit"
Crown_Scombridae,Scomber_scombrus,Allothunnus_fallai,54.17,80.88064064,15976,Crown Scombridae,Eocoelopoma portentosum,Alfaro et al. (in prep),"Danatinsk Formation, Turkmenistan","Crown Scombridae	Total group Trichuroidea	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Alfaro et al. (in revision), calibration 5"
Total_group_Champsodontidae,Champsodon_snyderi,Mullus_auratus,38,92.15015015,16132,Total group Champsodontidae,Eochampsodon elongatus,Bannikov (2004),"Gomyi Luch, Russia","Total group Champsodontidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Bartonian (Bannikov and Parin 1997), age estimate derived from Gradstein et al. (2012)"
Total_group_Macrorhamphosa,Aeoliscus_strigatus,Aulostomus_chinensis,69.71,109.3815716,16199,Total group Macrorhamphosa,Gasterorhamphosus zuppichinii,?,"Nardo, Italy","Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Harrington et al. (2016), calibration 3"
Total_group_Centriscidae,Aeoliscus_strigatus,Macroramphosus_gracilis,55.8,94.38118118,16213,Total group Centriscidae,Gerpegezhus paviai,Bannikov & Carnevale (2012),"Kehu River, Kabardino-Balkarian Republic","Total group Centriscidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Bannikov and Carnevale (2012)
Total_group_Hippocampus,Idiotropiscis_lumnitzeri,Hippocampus_bargibanti,49,79.89189189,16331,Total group Hippocampus,Hippocampus samarticus,Žalohar et al. 2009,"Coprolitic Horizon, Slovenia","Total group Hippocampus	Total group Centriscidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Žalohar et al. (2009)
Total_group_Gobiiformes,Trichonotus_elegans,Protogobius_attiti,49,93.62162162,16572,Total group Gobiiformes,Carlomonnius quasigobius,Bannikov & Carnevale (2016),"Bolca, Italy","Total group Gobiiformes	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Total_group_Kribia,Kribia_nana,Bostrychus_sinensis,23.03,74.76692693,16707,Total group Kribia,Lepidocottus aries,Gierl et al. (2013),"Aix-en-Provance Formation, France","Total group Kribia	Total group Gobiiformes	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Late Oligocene (Gierl et al. 2013), age estimate derived from Gradstein et al. (2012)"
Total_group_Channidae,Channa_diplogramma,Helostoma_temminkii,41.3,78.65255255,17716,Total group Channidae,Anchichanna kuldanensis,Murray & Thewissen (2008),"Kuldana Formation, Pakistan","Total group Channidae	Total group Menidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Lutetian, age estimate derived from Gradstein et al. (2012)"
Total_group_Latidae,Lates_niloticus,Toxotes_jaculatrix,49,79.89189189,17933,Total group Latidae,Eolates gracilis,Otero (2004),"Bolca, Italy","Total group Latidae	Total group Menidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Total_group_Menidae,Mene_maculata,Xiphias_gladius,55.2,94.59339339,17968,Total group Menidae,Mene purdyi,Friedman & Johnson (2006),"Lagunitos, Peru","Total group Menidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 5"
Total_group_Echeneoidei,Remora_osteochir,Lichia_amia,49,68.45045045,17982,Total group Echeneoidei,Ductor vestenae,Harrington et al. (in prep),"Bolca, Italy","Total group Echeneoidei	Total group Carangini	Total group Menidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 7"
Total_group_Echeneidae,Remora_osteochir,Rachycentron_canadum,29.62,56.87309309,17993,Total group Echeneidae,Oligoremora rhenana,Harrington et al. (in prep),"Grube Unterfeld, Germany","Total group Echeneidae	Total group Echeneoidei	Total group Carangini	Total group Menidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 6"
Total_group_Scomberoidini,Scomberoides_tol,Oligoplites_altus,19.3,55.47777778,18035,Total group Scomberoidini,Scomberoides spinosus,Harrington et al. (in prep),"Upper Maikop, Caucasus","Total group Scomberoidini	Total group Echeneoidei	Total group Carangini	Total group Menidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 8"
Total_group_Carangini,Seriola_zonata,Selene_vomer,49,79.89189189,18069,Total group Carangini,Eastmanalepes primaevus,Harrington et al. (in prep),"Bolca, Italy","Total group Carangini	Total group Menidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 9"
Total_group_Pleuronectiformes,Psettodes_erumei,Lactarius_lactarius,49,79.89189189,18258,Total group Pleuronectiformes,Heteronectes chaneti,Harrington et al. (in prep),"Bolca, Italy","Total group Pleuronectiformes	Total group Menidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 10"
Total_group_Sphyraenidae,Sphyraena_flavicauda,Lactarius_lactarius,49,68.45045045,18283,Total group Sphyraenidae,Sphyraena bolcensis,Harrington et al. (in prep),"Bolca, Italy","Total group Sphyraenidae	Total group Pleuronectiformes	Total group Menidae	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
