group,left,right,min,max,node,clade_pretty,fossil,authority,locality,outgroup_sequence,age_authority
Chanidae_vs_Kneriidae,Chanos_chanos,Cromeria_nilotica,126.3,155.7883884,1105,Chanidae vs Kneriidae,Rubiesichthys gregalis,Benton.etal. 2015 fish calibrations,"El Montsec, Spain","Chanidae vs Kneriidae	Total group Euteleostei	Crown Otomorpha	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 32"
Total_group_Characiformes,Citharinus_citharus,Nematogenys_inermis,93.9,143.0197197,1111,Total group Characiformes,Characiformes indet.,Dutheil (1999),"Kem Kem Beds, Morocco","Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 29; specimen derives from same geological unit"
MRCA_Sternopygus_and_Apteronotus,Sternopygus_macrurus,Apteronotus_leptorhynchus,7.246,117.6952432,1122,MRCA Sternopygus and Apteronotus,Humboldtichthys kirschbaumi,Albert & Fink (2007),"Upper Yecua Formation, Bolivia","MRCA Sternopygus and Apteronotus	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Albert and Fink (2007), age estimate derived from Gradstein et al. (2012)"
subset_Serrasalmidae,Catoprion_mento,Serrasalmus_hollandi,6,88.33833834,1482,subset Serrasalmidae,Megapiranha paranensis,Cione et al. (2009),"Ituzaingo Formation, Argentina","subset Serrasalmidae	Total group Spintherobolus	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Cione et al. (2009)
Total_group_Lignobrycon,Lignobrycon_myersi,Triportheus_albus,24.5,91.06856857,1658,Total group Lignobrycon,Lignobrycon ligniticus,Malabarba (1998),Tremembe Formation,"Total group Spintherobolus	Total group Lignobrycon	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Deseadan SALMA, age estimate derived from Flynn and Swisher (1995)"
Total_group_Spintherobolus,Spintherobolus_broccae,Amazonspinther_dalmata,24.5,119.0760761,1759,Total group Spintherobolus,Megacheirodon unicus,Malabarba (1998),Tremembe Formation,"Total group Spintherobolus	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Deseadan SALMA, age estimate derived from Flynn and Swisher (1995)"
Total_group_Salminus,Brycon_atrocaudatus,Salminus_brasiliensis,7.246,63.10538739,1890,Total group Salminus,Salminus noriegai,Cione & Azpelicueta (2013),Parana Formation,"Total group Salminus	Total group Spintherobolus	Total group Lignobrycon	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Cione and Azpelicueta (2013)
Crown_group_Callichthyidae,Dianema_urostriatum,Corydoras_fowleri,39.5,99.30630631,2263,Crown group Callichthyidae,Corydoras revelatus,,"Mais Gordo Formation, Argentina","Crown group Callichthyidae	Total group Ictaluridae	Total group Characiformes	Chanidae vs Kneriidae	Total group Euteleostei	Crown Otomorpha	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Minimum age constrained by zircon dating of overlying Faja Verde (del Papa et al. 2010)
Total_group_Loricariidae,Scoloplax_distolothrix,Delturus_parahybae,24.5,75.23823824,2544,Total group Loricariidae,Taubateia paraiba,Malbaraba & Lundberg (2007),Tremembe Formation,"Total group Loricariidae	Crown group Callichthyidae	Total group Ictaluridae	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Deseadan SALMA, age estimate derived from Flynn and Swisher (1995)"
Total_group_Pangasiidae,Plotosus_canius,Pangasianodon_gigas,5.333,94.60233934,3734,Total group Pangasiidae,Cetopangasius chaetobranchus,Roberts & Jumnongthai (1999),"Ban Nong Pla, Thailand","Total group Pangasiidae	Total group Ictaluridae	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Miocene, age estimate derived from Gradstein et al. (2012)"
Total_group_Ictaluridae,Cranoglanis_bouderius,Ictalurus_furcatus,59.36,123.1738939,3783,Total group Ictaluridae,Astephus sp.,Lundberg (1975),"Polecat Bench Formation, USA","Total group Ictaluridae	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Chron 26R, age estimate derived from Gradstein et al. (2012)"
Total_group_Ameiurus,Ameiurus_catus,Prietella_phreatophila,33.97,98.58750751,3786,Total group Ameiurus,Ameiurus pectinatus,Lundberg (1975),"Florrisant Formation, USA","Total group Ameiurus	Total group Ictaluridae	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Evanoff et al. (2001)
